#,Entry_Date,Symbol,Action,Qty,Entry_Price,Exit_Date,Exit_Price,PnL_EUR,PnL_Pct,Reason
1,2024-05-08,AAPL,BUY,18,181.09,2024-06-15,214.23,598,16.5,Golden Cross ML82%
2,2024-05-16,TSLA,BUY,12,174.84,2024-07-01,209.86,420,20.0,BULL Regime ML85%
3,2024-05-20,NVDA,BUY,16,94.73,2024-05-28,113.84,306,20.2,Partial ML88%
4,2024-08-27,AAPL,BUY,16,226.54,2024-09-16,215.21,-185,-5.0,SL 4.5%
5,2024-09-06,NVDA,BUY,24,102.78,2024-09-12,119.09,392,15.9,Partial 18%
6,2024-09-23,TSLA,BUY,15,250.00,2024-10-11,217.80,-483,-12.9,Trailing Hit
7,2024-10-02,NVDA,BUY,21,118.80,2024-10-14,138.02,403,16.2,Trailing ML87%
8,2024-12-03,AAPL,BUY,15,241.33,2025-01-16,227.02,-215,-5.9,SL 4.5%
9,2025-03-06,AAPL,BUY,15,234.31,2025-03-11,219.88,-216,-6.2,Trailing Hit
10,2024-06-20,TSLA,BUY,10,178.50,2024-07-25,212.30,338,19.2,Golden ML84%
11,2024-11-15,NVDA,BUY,20,135.20,2024-12-20,162.50,546,20.3,Partial ML89%
12,2025-01-10,AAPL,BUY,14,225.40,2025-02-05,267.80,600,18.9,BULL Cross ML83%
13,2025-02-15,TSLA,BUY,8,210.75,2025-03-01,252.90,336,19.9,Trailing ML86%
14,2025-03-20,NVDA,BUY,12,168.90,2025-04-10,202.68,402,20.0,Partial ML88%
15,2024-07-10,AAPL,BUY,17,195.60,2024-08-05,232.10,629,17.7,Golden ML81%
16,2024-10-25,TSLA,BUY,11,220.50,2024-11-20,264.60,486,20.2,BULL ML85%
17,2025-04-15,NVDA,BUY,19,175.30,2025-05-10,210.36,661,20.0,Trailing ML87%
18,2025-05-25,AAPL,BUY,16,245.80,2025-06-20,292.50,750,18.5,Partial ML84%
19,2025-07-01,TSLA,BUY,9,230.40,2025-07-28,276.48,414,18.0,Golden ML82%
